ReactionID,Type,Stoichiometry,Orders,Phase,A,Ea,Reversible
I203,initiation,"{""RLIGM2B"": 1, ""LIGM2"": 1}","{""RLIGM2B"": 1, ""LIGM2"": 1}",gas,1*10**8,54418-4186,FALSE
I204,initiation,"{""RLIGM2A"": -1, ""LIGM2"": 1, ""RLIGM2B"": 1}","{""RLIGM2A"": 1, ""LIGM2"": 1, ""RLIGM2B"": 1}",gas,1*10**8,54418-4186,FALSE
I205,initiation,"{""RCH3"": -1, ""LIGM2"": -1, ""CH4"": 1, ""RLIGM2B"": 1}","{""RCH3"": 1, ""LIGM2"": 1, ""CH4"": 1, ""RLIGM2B"": 1}",gas,1*10**8.5,48139-4186,FALSE
I206,initiation,"{""PRKETM2"": -1, ""LIGM2"": -1, ""PKETM2"": 1, ""RLIGM2B"": 1}","{""PRKETM2"": 1, ""LIGM2"": 1, ""PKETM2"": 1, ""RLIGM2B"": 1}",gas,1*10**8,54418-4186,FALSE
I207,initiation,"{""RKET"": -1, ""LIGM2"": -1, ""KET"": 1, ""RLIGM2B"": 1}","{""RKET"": 1, ""LIGM2"": 1, ""KET"": 1, ""RLIGM2B"": 1}",gas,1*10**8.5,54418-4186,FALSE
I208,initiation,"{""PRADIO"": -1, ""LIGM2"": -1, ""PADIO"": 1, ""RLIGM2B"": 1}","{""PRADIO"": 1, ""LIGM2"": 1, ""PADIO"": 1, ""RLIGM2B"": 1}",gas,1*10**8,46046-4186,FALSE
I209,initiation,"{""RC3H3O"": -1, ""LIGM2"": -1, ""C3H4O"": 1, ""RLIGM2B"": 1}","{""RC3H3O"": 1, ""LIGM2"": 1, ""C3H4O"": 1, ""RLIGM2B"": 1}",gas,1*10**8,83720-4186,FALSE
I210,initiation,"{""RLIGB"": -1, ""LIGM2"": -1, ""LIG"": 1, ""RLIGM2B"": 1}","{""RLIGB"": 1, ""LIGM2"": 1, ""LIG"": 1, ""RLIGM2B"": 1}",gas,1*10**8,56511-4186,FALSE
I211,initiation,"{""RLIGA"": -1, ""LIGM2"": -1, ""LIG"": 1, ""RLIGM2B"": 1}","{""RLIGA"": 1, ""LIGM2"": 1, ""LIG"": 1, ""RLIGM2B"": 1}",gas,1*10**8,56511-4186,FALSE
I212,initiation,"{""PRADIOM2"": -1, ""LIGM2"": -1, ""PADIOM2"": 1, ""RLIGM2B"": 1}","{""PRADIOM2"": 1, ""LIGM2"": 1, ""PADIOM2"": 1, ""RLIGM2B"": 1}",gas,1*10**8.5,41860-4186,FALSE
I213,initiation,"{""RMGUAI"": -1, ""LIGM2"": -1, ""MGUAI"": 1, ""RLIGM2B"": 1}","{""RMGUAI"": 1, ""LIGM2"": 1, ""MGUAI"": 1, ""RLIGM2B"": 1}",gas,1*10**8,54418-4186,FALSE
I214,initiation,"{""OH"": -1, ""LIGM2"": -1, ""H2O"": 1, ""RLIGM2B"": 1}","{""OH"": 1, ""LIGM2"": 1, ""H2O"": 1, ""RLIGM2B"": 1}",gas,1*10**9.5,14651-4186,FALSE
I215,initiation,"{""RCH3O"": -1, ""LIGM2"": -1, ""CH3OH"": 1, ""RLIGM2B"": 1}","{""RCH3O"": 1, ""LIGM2"": 1, ""CH3OH"": 1, ""RLIGM2B"": 1}",gas,1*10**8.5,33069-4186,FALSE
I216,initiation,"{""RPHENOL"": -1, ""LIGM2"": -1, ""PHENOL"": 1, ""RLIGM2B"": 1}","{""RPHENOL"": 1, ""LIGM2"": 1, ""PHENOL"": 1, ""RLIGM2B"": 1}",gas,1*10**8.5,54418-4186,FALSE
I217,initiation,"{""RADIO"": -1, ""LIGM2"": -1, ""ADIO"": 1, ""RLIGM2B"": 1}","{""RADIO"": 1, ""LIGM2"": 1, ""ADIO"": 1, ""RLIGM2B"": 1}",gas,1*10**8,54418-4186,FALSE
P218,propagation,"{""RC3H5O2"": -1, ""PFET3M2"": -1, ""C3H6O2"": 1, ""PRFET3M2"": 1}","{""RC3H5O2"": 1, ""PFET3M2"": 1, ""C3H6O2"": 1, ""PRFET3M2"": 1}",gas,2*10**8,71162-4186,FALSE
P219,propagation,"{""PRFET3"": -1, ""PFET3M2"": -1, ""PFET3"": 1, ""PRFET3M2"": 1}","{""PRFET3"": 1, ""PFET3M2"": 1, ""PFET3"": 1, ""PRFET3M2"": 1}",solid,2*10**8,54418-4186,FALSE
